# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
bai jia 	败家	c=5 d=1 t=29093
bai jia de 	败家的	c=1 d=1 t=2104
bai jia le 	败家了	c=1 d=1 t=9425
bai jie 	白洁	c=1 d=1 t=10202
bai lan 	摆烂	c=1 d=1 t=27113
bai lang 	白狼	c=1 d=1.06079 t=2649
bai nian 	百年	c=1 d=1 t=17370
bai piao 	白嫖	c=1 d=1 t=27437
bai ping 	摆平	c=3 d=0.143407 t=4233
bai ping le 	摆平了	c=1 d=1 t=4234
bai she 	摆设	c=2 d=1 t=29384
bai shi you yu 	败事有余	c=1 d=1 t=24439
bai shou 	白手	c=2 d=1 t=31314
bai shou qi jia 	白手起家	c=1 d=1 t=9366
bai tuo 	摆脱	c=4 d=1.00001 t=27727
bai xing 	百姓	c=4 d=2.82336 t=26184
bai zheng 	摆正	c=1 d=1 t=7755
bai zhi 	白纸	c=1 d=1 t=7615
ban 	办	c=9 d=1.7226 t=26549
ban 	半	c=3 d=1 t=19079
ban 	搬	c=1 d=1 t=2307
ban 	版	c=1 d=0.100017 t=22643
ban 	班	c=2 d=1.00005 t=10248
ban 	绊	c=1 d=1 t=1072
ban 	般	c=1 d=1 t=2311
ban bu chu lai 	办不出来	c=1 d=1 t=26398
ban bu hao 	办不好	c=1 d=1 t=7578
ban bu liao 	办不了	c=2 d=1 t=30361
ban dao 	办到	c=1 d=1 t=12196
ban fa 	办法	c=11 d=1 t=26459
ban fa gei 	办法给	c=1 d=1 t=2857
ban gong shi 	办公室	c=1 d=1 t=26988
ban hu zhao 	办护照	c=1 d=1 t=1354
ban mian 	绊面	c=1 d=1 t=18958
ban nian 	半年	c=1 d=1 t=2429
ban quan 	版权	c=2 d=1.82696 t=1822
ban shi 	办事	c=1 d=1 t=7699
ban tian 	半天	c=4 d=1 t=26259
ban ye 	半夜	c=1 d=1 t=19376
ban zhe 	伴着	c=1 d=1 t=9131
bang 	帮	c=3 d=1 t=29784
bang 	绑	c=3 d=1 t=29498
bang bu shang 	帮不上	c=4 d=1.01945 t=26486
bang guo 	帮过	c=1 d=1 t=19874
bang guo wo 	帮过我	c=1 d=1 t=1245
bang jia 	绑架	c=0 d=0.1 t=20433
bang li 	帮理	c=1 d=1 t=17892
bang mang 	帮忙	c=1 d=1 t=14819
bang ni 	帮你	c=2 d=1 t=12190
bang shang 	帮上	c=1 d=1 t=21370
bang si 	绑死	c=2 d=1 t=22260
bang ta 	帮他	c=1 d=1 t=8385
bang wo 	帮我	c=13 d=1 t=32275
bang yang 	榜样	c=1 d=1 t=14790
bang zhu 	帮助	c=19 d=2.59037 t=31713
bang zhu wo 	帮助我	c=2 d=1 t=25377
bao 	保	c=0 d=0.1 t=13406
bao 	包	c=3 d=1 t=28899
bao 	报	c=1 d=1 t=5215
bao 	抱	c=1 d=0.1 t=22199
bao bao 	宝宝	c=4 d=1.0331 t=29009
bao bao 	抱抱	c=2 d=1 t=23876
bao bu zhu 	保不住	c=2 d=1 t=18518
bao chi 	保持	c=1 d=1 t=5135
bao chou 	报仇	c=1 d=1 t=24524
bao fa 	爆发	c=0 d=0.1 t=698
bao fa dian 	爆发点	c=1 d=1 t=699
bao fu 	报复	c=5 d=1.00001 t=10828
bao fu 	抱负	c=3 d=1 t=26065
bao fu de 	报复的	c=1 d=1 t=3481
bao guang 	曝光	c=3 d=0.1 t=12168
bao guang wo 	曝光我	c=4 d=1.92268 t=2984
bao guang zai 	曝光在	c=1 d=1 t=12169
bao gui 	宝贵	c=0 d=0.116041 t=8373
bao gui de 	宝贵的	c=1 d=1 t=8008
bao hu 	保护	c=0 d=0.1 t=25803
bao hu le 	保护了	c=1 d=1 t=2467
bao hu wo 	保护我	c=1 d=1 t=25804
bao kuo 	包括	c=2 d=1.9802 t=16163
bao le 	报了	c=1 d=1 t=19943
bao li 	暴利	c=2 d=1 t=23451
bao li 	暴力	c=2 d=1 t=5088
bao liao 	爆料	c=2 d=1.96079 t=19517
bao mu 	保姆	c=1 d=1 t=30987
bao shou 	保守	c=1 d=1 t=16625
bao tang 	煲汤	c=1 d=1 t=21019
bao tuan qu nuan 	包团取暖	c=1 d=1 t=2292
bao tuan qu nuan 	抱团取暖	c=1 d=1 t=22200
bao xian 	保险	c=1 d=1 t=5189
bao yang 	包养	c=2 d=1.71825 t=32313
bao yang wo 	包养我	c=1 d=1 t=32314
bao yuan 	抱怨	c=3 d=1.91393 t=10613
bao zhang 	保障	c=2 d=1 t=28244
bao zhe 	抱着	c=1 d=1 t=9219
bao zhen 	抱枕	c=1 d=1 t=29603
bao zheng 	保证	c=3 d=1.00819 t=17577
bao zhu 	保住	c=3 d=1 t=25065
bao zi 	包子	c=2 d=1.98511 t=28944
bei 	呗	c=7 d=1.37605 t=28455
bei 	背	c=5 d=1 t=24633
bei 	被	c=86 d=1.64028 t=31873
bei 	辈	c=1 d=1 t=18048
bei an 	备案	c=1 d=1 t=26362
bei bi zhe 	被逼着	c=1 d=1 t=24200
bei can 	悲惨	c=2 d=1 t=25156
bei fang 	北方	c=1 d=0.609571 t=32367
bei guan 	悲观	c=3 d=1.97531 t=15669
bei huan li he 	悲欢离合	c=1 d=1 t=1050
bei jing 	北京	c=1 d=1.07531 t=11755
bei jing 	背景	c=5 d=1.14808 t=30381
bei jing de 	北京的	c=1 d=1 t=11756
bei ni 	被你	c=2 d=1 t=19204
bei ou 	北欧	c=1 d=1 t=16458
bei ou de 	北欧的	c=1 d=1 t=1439
bei pan 	背叛	c=2 d=1.00024 t=6016
bei po 	被迫	c=3 d=1 t=25028
bei qi 	背起	c=1 d=1 t=27291
bei qi 	贝奇	c=1 d=1 t=27292
bei ren 	被人	c=4 d=1.00067 t=26763
bei shou 	备受	c=0 d=0.1 t=5263
bei wo 	被我	c=2 d=1 t=24486
bei zhe 	背着	c=3 d=1.47951 t=24756
bei zi 	辈子	c=3 d=1 t=29238
ben 	本	c=1 d=1 t=24435
ben bao bao 	本宝宝	c=1 d=1 t=17023
ben gai 	本该	c=1 d=1 t=11449
ben jia zu 	本家族	c=1 d=1 t=17389
ben lai 	本来	c=8 d=1 t=31376
ben lai jiu 	本来就	c=1 d=1 t=11520
ben lai jiu shi 	本来就是	c=1 d=1 t=32089
ben lai shi 	本来是	c=1 d=1 t=23792
ben neng 	本能	c=1 d=1 t=15103
ben pao 	奔跑	c=1 d=1 t=5541
ben shen 	本身	c=2 d=1 t=9592
ben shi 	本事	c=6 d=1 t=30487
ben xing 	本性	c=1 d=1 t=19225
ben zhi 	本质	c=1 d=0.1 t=27608
ben zhi shang 	本质上	c=1 d=1 t=10849
beng kui 	崩溃	c=1 d=1 t=28497
beng kui le 	崩溃了	c=1 d=1 t=18546
bi 	壁	c=1 d=1 t=26599
bi 	币	c=2 d=1 t=28309
bi 	必	c=2 d=1.95123 t=9956
bi 	比	c=11 d=0.11922 t=31203
bi 	逼	c=5 d=1 t=17464
bi bai 	逼败	c=1 d=1 t=18208
bi bu shang 	比不上	c=1 d=1 t=10376
bi chu lai 	逼出来	c=2 d=1.37531 t=14572
bi dao 	逼到	c=1 d=1 t=6793
bi ding 	必定	c=1 d=1 t=1925
bi feng 	逼疯	c=1 d=1 t=14476
bi guan 	闭关	c=3 d=1.96601 t=11351
bi jiao 	比较	c=53 d=1.87051 t=32287
bi jiao hao 	比较好	c=2 d=1 t=28060
bi jing 	毕竟	c=98 d=2.11793 t=31555
bi jing ren jia 	毕竟人家	c=1 d=1 t=23385
bi kai 	避开	c=1 d=1 t=10524
bi ni 	比你	c=2 d=1 t=18171
bi qian 	笔钱	c=1 d=1.01979 t=15195
bi ru 	比如	c=1 d=1 t=20848
bi shang 	比上	c=0 d=0.1 t=5902
bi shang 	逼上	c=1 d=1 t=9281
bi shang bu zu 	比上不足	c=1 d=1 t=5903
bi shen 	必身	c=1 d=1 t=24273
bi shen me 	比什么	c=1 d=1 t=31204
bi shu 	逼数	c=2 d=1.00705 t=12554
bi shui 	比谁	c=2 d=1.03491 t=16414
bi si 	逼死	c=1 d=1 t=11964
bi wo 	比我	c=25 d=2.48781 t=30979
bi wo 	逼我	c=3 d=1 t=26667
bi xian zai 	比现在	c=1 d=1 t=1426
bi xu 	必须	c=2 d=0.100026 t=27674
bi yao 	必要	c=1 d=1 t=31767
bi ye 	毕业	c=5 d=1 t=31836
bi ye yi hou 	毕业以后	c=1 d=1 t=5333
bi yi 	鄙夷	c=0 d=0.1 t=9944
bi yi ng 	鄙夷嗯	c=1 d=1 t=9945
bi ying 	必应	c=1 d=1 t=9948
bi zhe 	逼着	c=3 d=1 t=31874
bi zhe wo 	逼着我	c=1 d=1 t=12967
bi zi ji 	逼自己	c=1 d=1 t=6445
bian 	变	c=5 d=1 t=17795
bian 	边	c=1 d=1 t=8451
bian 	遍	c=0 d=0.1 t=15954
bian cheng 	变成	c=4 d=1.6157 t=26872
bian cheng 	编程	c=3 d=1 t=9820
bian de 	变得	c=7 d=1.00228 t=22944
bian gu 	变故	c=1 d=1 t=22826
bian hua 	变化	c=1 d=1 t=16589
bian ji 	编辑	c=1 d=1 t=29451
bian le 	变了	c=3 d=1.54883 t=5943
bian li 	便利	c=1 d=1 t=26196
bian shi 	便是	c=1 d=0.839457 t=32367
bian shi 	扁食	c=1 d=1 t=18956
bian tai 	变态	c=2 d=1 t=32317
bian xian 	变现	c=3 d=2.20823 t=30136
bian zhi 	贬值	c=1 d=1 t=2216
biao da 	表达	c=3 d=1.96079 t=32181
biao gan 	标杆	c=1 d=1 t=14743
biao li 	表里	c=0 d=0.1 t=22168
biao li bu yi 	表里不宜	c=1 d=1 t=22169
biao mei 	表妹	c=1 d=1 t=14776
biao qian 	标签	c=0 d=0.0955997 t=32367
biao qing 	表情	c=1 d=1 t=12627
biao shi 	表示	c=3 d=1.00892 t=23670
biao xian 	表现	c=1 d=1 t=21858
biao zhun 	标准	c=4 d=1.91851 t=13926
biao zhun wo 	标准我	c=1 d=1 t=10340
bie 	别	c=10 d=1.05879 t=26772
bie de 	别的	c=3 d=1 t=12559
bie kan 	别看	c=2 d=1.0876 t=4530
bie ren 	别人	c=79 d=3.66026 t=31945
bie ren de 	别人的	c=2 d=1 t=17700
bie ren shuo 	别人说	c=1 d=1 t=15911
bie shuo 	别说	c=6 d=1 t=31594
bie xiang 	别想	c=0 d=0.1 t=9579
bie xiang zhe 	别想这	c=1 d=1 t=9580
bin lin 	濒临	c=1 d=1 t=720
bing 	兵	c=1 d=1 t=11411
bing 	冰	c=3 d=1.75113 t=32367
bing 	并	c=1 d=1 t=29146
bing 	病	c=4 d=1.96688 t=16731
bing 	饼	c=1 d=1 t=18732
bing bu 	并不	c=3 d=1.00483 t=25322
bing bu duo 	并不多	c=1 d=1 t=12940
bing bu shi 	并不是	c=0 d=0.1 t=26004
bing bu xi huan 	并不喜欢	c=2 d=1.0455 t=25335
bing bu xiao zhang 	并不嚣张	c=1 d=1 t=4283
bing bu zai yi 	并不在意	c=1 d=1 t=8893
bing bu zhong yao 	并不重要	c=1 d=1 t=21651
bing deng 	冰灯	c=4 d=2.99061 t=32367
bing fa 	兵法	c=4 d=2.73535 t=10211
bing feng 	冰封	c=1 d=1 t=18962
bing jia 	兵家	c=1 d=1 t=18224
bing le 	病了	c=1 d=1 t=15801
bing zhao 	冰罩	c=1 d=0.99005 t=32367
bo 	博	c=0 d=0.1 t=23576
bo 	波	c=2 d=1.00174 t=29963
bo 	薄	c=0 d=0.1 t=20080
bo cai 	博彩	c=6 d=1.00837 t=28368
bo duo 	剥夺	c=0 d=0.1 t=20302
bo ke 	博客	c=2 d=1 t=8675
bo ke ma 	博客吗	c=1 d=1 t=2721
bo ruo 	薄弱	c=0 d=0.1 t=601
bo ruo de 	薄弱的	c=1 d=1 t=602
bo xue 	剥削	c=0 d=0.1 t=23821
bo xue ya po 	剥削压迫	c=1 d=1 t=23822
bo yi bo 	博一博	c=1 d=1 t=16987
bu 	不	c=47 d=0.123242 t=32357
bu 	步	c=0 d=0.1 t=31253
bu ai 	不爱	c=18 d=1.95123 t=31172
bu ai chi 	不爱吃	c=1 d=1 t=23545
bu an fen 	不安分	c=1 d=1 t=14319
bu ba 	不把	c=2 d=1 t=14469
bu bang 	不帮	c=1 d=1 t=17893
bu bi 	不必	c=0 d=0.1 t=5818
bu biao xian 	不表现	c=1 d=1 t=10856
bu ceng 	不曾	c=1 d=1 t=15411
bu cheng 	不成	c=1 d=1 t=24545
bu cheng gong 	不成功	c=1 d=0.1 t=17712
bu cheng ren 	不承认	c=2 d=1 t=30141
bu chi 	不吃	c=4 d=1.00001 t=23555
bu chu 	不出	c=3 d=1.00007 t=15094
bu chu lai 	不出来	c=4 d=0.100012 t=26397
bu chu men 	不出门	c=1 d=1 t=7171
bu chu qu 	不出去	c=1 d=1 t=28802
bu chu shi 	不出事	c=1 d=1 t=16681
bu cun zai le 	不存在了	c=1 d=1 t=20265
bu cuo 	不错	c=3 d=1 t=28597
bu cuo de 	不错的	c=3 d=1 t=27457
bu da suan 	不打算	c=2 d=1.07531 t=27629
bu dai biao 	不代表	c=2 d=0.1 t=30683
bu dang 	不当	c=1 d=1 t=29912
bu dao 	不到	c=2 d=0.100001 t=23039
bu dao mei 	不倒霉	c=3 d=1.34044 t=817
bu de 	不得	c=1 d=1 t=10669
bu de bu 	不得不	c=1 d=1 t=14798
bu dei 	不得	c=6 d=0.110177 t=23390
bu diao 	不掉	c=0 d=0.1 t=30283
bu ding 	不定	c=0 d=0.1 t=2373
bu dong 	不动	c=1 d=1 t=3913
bu dong 	不懂	c=4 d=1 t=24964
bu dong de 	不懂的	c=1 d=1 t=14949
bu dong hang 	不懂行	c=1 d=1 t=7069
bu dong le 	不动了	c=1 d=1 t=895
bu dong nao zi 	不动脑子	c=1 d=1 t=8714
bu dou 	不都	c=3 d=1.09802 t=30512
bu dou shi 	不都是	c=7 d=1.00002 t=30414
bu dou yi yang 	不都一样	c=1 d=1 t=30509
bu dou zhe yang 	不都这样	c=1 d=1 t=20529
bu du 	不读	c=1 d=1 t=27700
bu duan 	不断	c=0 d=0.1 t=25934
bu duan de rang 	不断的让	c=1 d=1 t=25935
bu dui 	不对	c=3 d=1.00228 t=20038
bu dui ya 	不对呀	c=1 d=1 t=19283
bu duo 	不多	c=2 d=1.02039 t=6014
bu duo de 	不多的	c=1 d=1 t=5697
bu e 	不饿	c=1 d=1 t=28422
bu e si 	不饿死	c=2 d=1.39259 t=16618
bu fa 	不发	c=0 d=0.1 t=16869
bu fa sheng 	不发生	c=1 d=1 t=16870
bu fan dui 	不反对	c=1 d=1 t=21349
bu fang 	不妨	c=0 d=0.1 t=25539
bu fang ai 	不妨碍	c=1 d=0.1 t=25013
bu fen 	部分	c=0 d=0.1 t=6741
bu fu chou 	不复仇	c=1 d=1 t=22382
bu fu he 	不符合	c=1 d=1 t=1241
bu gai 	不该	c=1 d=1 t=26648
bu gai bian 	不改变	c=1 d=1 t=5839
bu gan 	不干	c=3 d=1 t=28373
bu gan 	不敢	c=2 d=1 t=19031
bu gan chi 	不敢吃	c=1 d=1 t=5176
bu gan ga 	不尴尬	c=1 d=1 t=23764
bu gan jing 	不干净	c=3 d=1 t=28761
bu gan jing de 	不干净的	c=1 d=1 t=649
bu gan si 	不敢死	c=1 d=1 t=1036
bu gan xing qu 	不感兴趣	c=2 d=1.86936 t=11950
bu gao 	不搞	c=1 d=0.11367 t=26404
bu gao xing 	不高兴	c=3 d=1 t=18590
bu gei 	不给	c=2 d=0.595556 t=12360
bu gei wo 	不给我	c=3 d=0.1 t=31052
bu gei wo ban 	不给我办	c=1 d=1 t=26550
bu gen 	不跟	c=2 d=0.455226 t=23542
bu gen ni 	不跟你	c=1 d=1 t=23543
bu gong ping 	不公平	c=2 d=1 t=21600
bu gong ping ba 	不公平吧	c=1 d=1 t=10643
bu gou 	不够	c=4 d=0.1 t=30958
bu gu 	不顾	c=1 d=1 t=13511
bu guai 	不怪	c=1 d=1 t=22111
bu guan 	不管	c=21 d=1.00621 t=31148
bu guan ni 	不管你	c=1 d=1 t=9747
bu guan shi 	不管是	c=2 d=1 t=24148
bu guo 	不过	c=38 d=0.101519 t=31134
bu guo ne 	不过呢	c=1 d=1 t=695
bu guo shi 	不过是	c=1 d=1 t=6978
bu guo wo 	不过我	c=1 d=1 t=31135
bu guo wo pa 	不过我怕	c=1 d=1 t=279
bu hai 	不还	c=1 d=1 t=18327
bu hai pa 	不害怕	c=2 d=1.6847 t=15491
bu hao 	不好	c=29 d=1.00004 t=31343
bu hao ba 	不好吧	c=1 d=1 t=1094
bu hao de 	不好的	c=2 d=0.101416 t=4701
bu hao de ren 	不好的人	c=1 d=1 t=5784
bu hao jiu 	不好就	c=1 d=1 t=1093
bu hao le 	不好了	c=1 d=0.1 t=27122
bu hao ma 	不好吗	c=1 d=1 t=24952
bu hao shuo 	不好说	c=1 d=0.294952 t=6236
bu hao wan 	不好玩	c=1 d=1 t=5321
bu hao yi si 	不好意思	c=1 d=1 t=6190
bu hao zi ji de 	不好自己的	c=1 d=1 t=6153
bu he 	不合	c=6 d=1.71892 t=30993
bu he fa 	不合法	c=1 d=1 t=26389
bu he shi 	不合适	c=4 d=1 t=31537
bu hen 	不恨	c=1 d=1 t=1706
bu hua 	不花	c=1 d=1 t=27961
bu hua qian 	不花钱	c=1 d=1 t=392
bu hua suan 	不花算	c=1 d=1 t=3247
bu huai 	不坏	c=2 d=1 t=9112
bu huan 	不还	c=2 d=1 t=12993
bu huan wo 	不还我	c=1 d=1 t=12327
bu hui 	不会	c=36 d=0.417467 t=32194
bu hui 	不回	c=1 d=1 t=29693
bu hui a 	不会啊	c=1 d=1 t=6777
bu hui lai 	不回来	c=4 d=1 t=32272
bu hui shi 	不会是	c=2 d=1 t=26958
bu hui zhuan 	不会赚	c=1 d=1 t=31011
bu ji 	不羁	c=0 d=0.1 t=7313
bu ji de 	不记得	c=1 d=1.09418 t=12803
bu jiang 	不讲	c=28 d=1.00006 t=21305
bu jie hun 	不结婚	c=1 d=1 t=30963
bu jie jue 	不解决	c=2 d=1.99005 t=705
bu jie shou 	不接受	c=1 d=1 t=31083
bu jin 	不仅	c=0 d=0.1 t=3484
bu jin jin 	不仅仅	c=1 d=1 t=17079
bu jiu 	不就	c=7 d=1.01135 t=10231
bu jiu 	不救	c=1 d=1 t=32248
bu jiu shi 	不就是	c=16 d=1.00928 t=31426
bu jiu zhi dao 	不就知道	c=1 d=1 t=6684
bu ju bei 	不具备	c=1 d=1 t=28053
bu juan 	不卷	c=1 d=1 t=1449
bu jue de 	不觉得	c=3 d=0.1 t=19838
bu kai xin 	不开心	c=14 d=1.27986 t=25713
bu kai xin de 	不开心的	c=2 d=1.90484 t=25254
bu kai xin le 	不开心了	c=1 d=1 t=25621
bu kan le 	不看了	c=1 d=1 t=13900
bu kao 	不靠	c=1 d=0.1 t=21871
bu kao lv 	不考虑	c=2 d=1.00281 t=1658
bu ke 	不可	c=1 d=1 t=24724
bu ke kong le 	不可控了	c=1 d=1 t=3021
bu ke lian 	不可怜	c=1 d=1 t=22179
bu ke neng 	不可能	c=11 d=1.00001 t=31576
bu ke si yi 	不可思议	c=1 d=1 t=11194
bu ke yi 	不可以	c=2 d=0.1 t=32352
bu ke yi ma 	不可以吗	c=1 d=1 t=13338
bu ken ne ge 	不啃呢个	c=1 d=1 t=27720
bu lai 	不来	c=3 d=0.1 t=20597
bu li 	不理	c=2 d=1 t=17534
bu li jie 	不理解	c=1 d=1 t=32358
bu li wo 	不理我	c=1 d=1 t=12162
bu liang 	不良	c=1 d=1 t=31073
bu liao 	不了	c=14 d=1.00012 t=32118
bu liao le 	不了了	c=0 d=0.1 t=11000
bu liao wo 	不了我	c=1 d=1 t=8961
bu liu 	不留	c=1 d=1 t=25315
bu liu xing 	不流行	c=1 d=1 t=5281
bu mai 	不买	c=0 d=0.1 t=31801
bu mai fang le 	不买房了	c=1 d=1 t=29752
bu man zu 	不满足	c=1 d=1 t=9443
bu mei man 	不美满	c=1 d=1 t=22762
bu men 	部门	c=3 d=1.04419 t=4629
bu mi shi 	不迷失	c=1 d=1 t=5825
bu ming bai 	不明白	c=8 d=1.21762 t=31460
bu ming bai wo 	不明白我	c=1 d=1 t=7494
bu na 	不拿	c=1 d=1 t=7946
bu na me 	不那么	c=1 d=1 t=23195
bu nan 	不难	c=3 d=1.00162 t=28672
bu nan shou 	不难受	c=2 d=1 t=30588
bu nan shou le 	不难受了	c=2 d=1.00008 t=20939
bu neng 	不能	c=39 d=0.882497 t=32367
bu neng chi 	不能吃	c=1 d=1 t=20954
bu nu li 	不努力	c=1 d=1 t=17731
bu pa 	不怕	c=4 d=0.1 t=20411
bu pa si 	不怕死	c=1 d=1 t=16363
bu pang 	不胖	c=1 d=1 t=28611
bu pao 	不跑	c=1 d=1 t=20798
bu piao 	不飘	c=1 d=1 t=7970
bu piao liang 	不漂亮	c=2 d=1.55433 t=14325
bu ping deng 	不平等	c=1 d=1 t=4248
bu qi 	不起	c=1 d=0.1 t=31120
bu qi lai 	不起来	c=4 d=1 t=20776
bu qiang qiu le 	不强求了	c=1 d=1 t=1092
bu qie shi ji 	不切实际	c=1 d=1 t=10994
bu qing chu 	不清楚	c=1 d=1 t=22324
bu qiu 	不求	c=1 d=1 t=31411
bu qu 	不去	c=3 d=1 t=18763
bu qu si 	不去死	c=1 d=1 t=13434
bu que 	不缺	c=0 d=0.1 t=2946
bu ran 	不然	c=66 d=1.02002 t=32255
bu ran jiu shi 	不然就是	c=1 d=1 t=9431
bu ran wo jiu 	不然我就	c=1 d=1 t=3567
bu rang 	不让	c=3 d=1.97744 t=23509
bu rang wo 	不让我	c=4 d=1.23084 t=23942
bu rong yi 	不容易	c=1 d=1 t=28546
bu ru 	不如	c=17 d=1 t=30977
bu sha 	不傻	c=1 d=1 t=4131
bu shang 	不上	c=9 d=0.607144 t=32336
bu shao 	不少	c=1 d=1 t=18850
bu she jiao 	不社交	c=1 d=1 t=31983
bu sheng 	不生	c=2 d=1 t=22288
bu shi 	不是	c=122 d=1.00587 t=32367
bu shi ma 	不是吗	c=1 d=1 t=30488
bu shi ren 	不是人	c=1 d=1 t=14954
bu shi shuo 	不是说	c=1 d=1 t=4854
bu shi ying 	不适应	c=1 d=1 t=21215
bu shou 	不受	c=1 d=1 t=27495
bu shou 	不守	c=1 d=1 t=1198
bu shou 	不收	c=0 d=0.1 t=24456
bu shou shou 	不收手	c=1 d=1 t=24457
bu shu fu 	不舒服	c=3 d=1.00022 t=24390
bu shu yu 	不属于	c=5 d=0.196561 t=25731
bu shu yu wo le 	不属于我了	c=1 d=1 t=25732
bu shui 	不睡	c=1 d=1 t=28495
bu shun 	不顺	c=2 d=1.00082 t=4747
bu shuo 	不说	c=3 d=1 t=27192
bu si 	不死	c=0 d=0.1 t=19597
bu si jin qu 	不思进取	c=1 d=1 t=26086
bu suan 	不算	c=1 d=1 t=23237
bu tai 	不太	c=24 d=1.00087 t=31188
bu tai dui 	不太对	c=1 d=1 t=3734
bu tai hao 	不太好	c=3 d=1.00001 t=28634
bu tai ke neng 	不太可能	c=3 d=1 t=21624
bu tan 	不谈	c=3 d=1 t=26422
bu tan 	不贪	c=3 d=1.51657 t=30280
bu ting 	不听	c=1 d=0.1 t=12153
bu ting de 	不停的	c=4 d=1 t=16580
bu tong 	不同	c=6 d=0.10001 t=32089
bu tong 	不痛	c=3 d=0.325373 t=28883
bu tong de 	不同的	c=2 d=1 t=27530
bu tong ku 	不痛苦	c=1 d=1 t=1007
bu tong la 	不痛拉	c=1 d=1 t=28884
bu tong ya 	不痛呀	c=1 d=1 t=23492
bu tui fan 	不推翻	c=1 d=1 t=17572
bu wan 	不完	c=1 d=0.100025 t=28949
bu wan zheng 	不完整	c=1 d=1 t=2240
bu wang 	不枉	c=0 d=0.1 t=24959
bu wang ci sheng 	不枉此生	c=1 d=1 t=24960
bu wei 	不为	c=2 d=1 t=21082
bu wei le 	不为了	c=3 d=1 t=25843
bu wen 	不问	c=1 d=1 t=4713
bu wen ding 	不稳定	c=1 d=1 t=7673
bu wen nuan 	不温暖	c=1 d=1 t=9043
bu xi hua 	不细化	c=1 d=1 t=26061
bu xi huan 	不喜欢	c=31 d=2.26919 t=32346
bu xia 	不下	c=2 d=1 t=32201
bu xia lai 	不下来	c=1 d=1 t=17653
bu xia qu 	不下去	c=1 d=0.1 t=19885
bu xian 	不嫌	c=1 d=1 t=28509
